wkt_geom,SSC_CODE,SSC_NAME,CONF_VALUE,SQKM
POINT(145.177868 -38.337437),20139,Bittern,Very good,10.74455648
POINT(144.925549 -37.625810),21170,Roxburgh Park,Very good,6.740334905
POINT(145.022962 -37.970523),20141,Black Rock (Vic.),Very good,3.627255649
POINT(145.152258 -37.821696),20142,Blackburn,Very good,5.898889136
POINT(145.154322 -37.805366),20143,Blackburn North,Very good,2.708294734
POINT(144.185705 -38.017067),21174,Russells Bridge,Acceptable,24.27097532
POINT(145.146540 -37.839358),20144,Blackburn South,Very good,3.596733056
POINT(144.298567 -37.472996),20145,Blackwood (Vic.),Poor,5.531102087
POINT(144.809929 -38.382178),21176,Rye,Very good,14.68039819
POINT(144.772272 -38.368731),20146,Blairgowrie,Very good,6.273534306
POINT(145.000266 -38.315348),21177,Safety Beach (Vic.),Very good,6.008065261
POINT(144.026624 -37.352258),20147,Blampied,Very good,43.35016525
POINT(145.337698 -38.214273),20148,Blind Bight,Very good,0.54324949
POINT(145.379589 -38.526929),21180,San Remo (Vic.),Very good,3.583979436
POINT(145.127625 -38.063053),20151,Bonbeach,Very good,2.797976051
POINT(145.208677 -38.082098),21182,Sandhurst,Very good,3.173490907
POINT(143.998377 -37.187506),21183,Sandon (Vic.),Poor,143.2196533
POINT(144.904365 -38.431255),20153,Boneo,Acceptable,60.92895562
POINT(145.013879 -37.953304),21184,Sandringham (Vic.),Very good,3.572258862
POINT(145.356786 -37.867797),21187,Sassafras (Vic.),Acceptable,3.488574534
POINT(145.218283 -37.902581),21189,Scoresby,Very good,9.082727838
POINT(144.758656 -37.880921),21192,Seabrook,Very good,1.619894946
POINT(145.138447 -38.104821),21193,Seaford (Vic.),Very good,12.43171159
POINT(145.285965 -37.856291),20163,Boronia,Very good,11.26350598
POINT(144.845040 -37.863997),21194,Seaholme,Very good,1.083842841
POINT(145.268415 -38.139222),20165,Botanic Ridge,Very good,9.649052948
POINT(145.126096 -37.821522),20168,Box Hill (Vic.),Very good,3.522042171
POINT(144.891585 -37.806765),21199,Seddon (Vic.),Very good,0.955212926
POINT(145.129560 -37.805616),20169,Box Hill North,Very good,3.962609658
POINT(145.123375 -37.836620),20170,Box Hill South,Very good,3.490338245
POINT(145.378390 -37.918715),21201,Selby,Very good,6.558223437
POINT(145.117408 -38.012308),20171,Braeside,Very poor,0.372722309
POINT(144.854842 -37.786705),20173,Braybrook,Very good,4.325426743
POINT(145.475536 -37.792642),21204,Seville,Very good,21.3742178
POINT(144.369834 -38.177764),20174,Breakwater,Good,4.883547471
POINT(145.503193 -37.778579),21205,Seville East,Good,9.679845115
POINT(144.445662 -38.257676),20175,Breamlea,Very poor,40.34501903
POINT(145.121088 -37.706196),20177,Briar Hill,Very good,1.306166851
POINT(144.181963 -37.867356),21208,She Oaks,Very poor,96.22144029
POINT(143.961589 -37.974592),21210,Shelford,Poor,256.7091249
POINT(144.995817 -37.908189),20181,Brighton (Vic.),Very good,8.20049586
POINT(145.016386 -37.917174),20182,Brighton East,Very good,5.665195216
POINT(145.364879 -37.891217),21214,Sherbrooke,Very good,9.299868001
POINT(145.051734 -38.424411),21215,Shoreham,Acceptable,2.86377497
POINT(145.060878 -37.212494),20185,Broadford,Very good,120.0699713
POINT(145.444504 -37.834187),21216,Silvan,Very good,20.42841986
POINT(144.932282 -37.683299),20186,Broadmeadows (Vic.),Very good,7.960718992
POINT(145.272692 -38.453866),21217,Silverleaves,Very good,2.206054801
POINT(144.540525 -37.699347),20188,Brookfield (Vic.),Very good,10.68443075
POINT(144.841498 -37.816089),20189,Brooklyn (Vic.),Very good,5.475224978
POINT(143.920018 -37.397242),20190,Broomfield,Very poor,18.68084415
POINT(145.216299 -38.105050),21221,Skye (Vic.),Very good,16.6419144
POINT(143.912914 -37.512053),20191,Brown Hill (Vic.),Very good,43.56906272
POINT(143.926321 -37.269741),21222,Smeaton,Acceptable,184.296426
POINT(145.255152 -38.500664),21223,Smiths Beach,Very good,0.739777524
POINT(144.961267 -37.766442),20193,Brunswick (Vic.),Very good,5.142469999
POINT(145.288345 -37.627001),21224,Smiths Gully,Very good,14.75222195
POINT(144.977668 -37.768903),20194,Brunswick East,Very good,2.168041951
POINT(144.942536 -37.763319),20195,Brunswick West,Very good,3.179281678
POINT(145.172610 -38.392324),21229,Somers,Very good,4.146713084
POINT(144.950763 -37.634683),21230,Somerton (Vic.),Very good,5.410106476
POINT(145.987333 -38.662154),20200,Buffalo,Poor,182.4670154
POINT(145.198101 -38.232772),21231,Somerville (Vic.),Very good,31.37369242
POINT(144.742064 -38.344718),21232,Sorrento (Vic.),Very good,7.013690534
POINT(145.575066 -38.593735),21233,South Dudley,Very good,1.539013073
POINT(144.791031 -37.635244),20203,Bulla (Vic.),Very good,33.68449791
